Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Seyi Ajirotutu (WR, SD)",STL,#17,293,124,0.00,0.00,0.00,0.24,3.18,0.01,-0.12-0.86,0.37,0.62,$3000,0.21
"Josh Morgan (WR, CHI)",TB,#28,293,124,0.00,0.00,0.00,0.31,3.14,0.01,0.03-0.71,0.37,0.68,$3000,0.23
"Ted Ginn Jr. (WR, ARI)",SEA,#11,295,125,0.00,0.07,0.00,0.23,3.29,0.00,-0.1-0.82,0.36,0.57,$3000,0.19
"Adam Thielen (WR, MIN)",GB,#13,296,126,0.00,0.00,0.00,0.17,2.97,0.01,-0.08-0.78,0.35,0.53,$3000,0.18
"Griff Whalen (WR, IND)",JAC,#19,298,127,0.00,0.00,0.00,0.31,3.41,0.00,0.07-0.61,0.34,0.65,$3000,0.22
"James Wright (WR, CIN)",HOU,#4,303,128,0.01,0.04,0.00,0.17,2.27,0.01,-0.12-0.7,0.29,0.46,$3000,0.15
"Ace Sanders (WR, JAC)",IND,#25,303,128,0.00,0.00,0.00,0.42,2.79,0.01,-0.05-0.63,0.29,0.75,$3000,0.25
"Kevin Norwood (WR, SEA)",ARI,#3,303,128,0.00,0.00,0.00,0.43,2.79,0.00,-0.05-0.63,0.29,0.7,$3000,0.23
"Mike Brown (WR, JAC)",IND,#25,304,129,0.00,0.00,0.00,0.23,2.48,0.01,-0.08-0.64,0.28,0.53,$3000,0.18
"Jarrett Boykin (WR, GB)",MIN,#15,304,129,0.00,0.00,0.00,0.29,2.78,0.00,-0.11-0.67,0.28,0.57,$3000,0.19
"Dane Sanzenbacher (WR, CIN)",HOU,#4,305,130,0.00,0.00,0.00,0.33,2.68,0.00,-0.01-0.55,0.27,0.6,$3000,0.2
"Teddy Williams (WR, CHI)",TB,#28,306,131,0.00,0.00,0.00,0.18,2.37,0.00,0.01-0.51,0.26,0.42,$0,0
"Frankie Hammond (WR, KC)",OAK,#14,310,132,0.00,0.00,0.00,0.13,1.66,0.01,-0.09-0.49,0.20,0.36,$3000,0.12
"Josh Huff (WR, PHI)",TEN,#27,314,133,0.02,0.06,0.00,0.17,1.34,0.00,-0.03-0.29,0.13,0.31,$3000,0.1
"Joe Morgan (WR, NO)",BAL,#5,314,133,0.00,0.00,0.00,0.13,1.33,0.00,-0.02-0.28,0.13,0.26,$0,0
"Aldrick Robinson (WR, WSH)",SF,#8,314,133,0.00,0.00,0.00,0.12,1.30,0.00,-0.03-0.29,0.13,0.25,$3000,0.08
"Brice Butler (WR, OAK)",KC,#12,316,134,0.00,0.00,0.00,0.07,1.01,0.00,-0.01-0.23,0.11,0.17,$3000,0.06
"Andre Caldwell (WR, DEN)",MIA,#1,318,135,0.00,0.00,0.00,0.11,0.66,0.00,-0.1-0.28,0.09,0.18,$3000,0.06
